year,baseline_pct,ci_lower_95,ci_upper_95,base_policy_scenario,optimistic_scenario,pessimistic_scenario
2025,62.96,52.52,73.41,65.46,66.34,64.09
2026,69.44,58.15,80.72,79.47,80.05,78.43
2027,76.58,64.51,88.64,82.01,82.6,80.79
2028,84.45,71.66,97.25,83.56,83.99,82.5
